frame,ms
0,334.033
1,30.7132
2,0.535791
3,0.459458
4,0.517708
5,0.216667
6,0.169458
7,0.55825
8,0.62325
9,0.515375
10,0.150334
11,0.219792
12,0.57625
13,0.507084
14,0.357667
15,0.355125
16,0.163334
17,0.147125
18,0.497917
19,0.271625
20,0.118041
21,0.151
22,0.152
23,0.51375
24,0.28675
25,0.463166
26,0.1345
27,0.156875
28,0.4925
29,0.353875
30,0.451709
31,0.34725
32,0.27625
33,0.150083
34,0.140375
35,0.46375
36,0.425333
37,0.382167
38,0.154541
39,0.164208
40,0.372833
41,0.306875
42,0.446917
43,0.289917
44,0.318459
45,0.142458
46,0.195792
47,0.42075
48,0.381084
49,0.32675
50,0.151083
51,0.150791
52,0.164125
53,0.2645
54,0.493708
55,0.415125
56,0.202708
57,0.124917
58,0.138458
59,0.360833
60,0.354916
61,0.219125
62,0.159209
63,0.160084
64,0.417542
65,0.366
66,0.337834
67,0.137292
68,0.188209
69,0.225541
70,0.225666
71,0.161333
72,0.284458
73,0.173041
74,0.1545
75,0.678667
76,0.478208
77,0.547417
78,0.13125
79,0.153333
80,0.249625
81,0.293875
82,0.513167
83,0.359917
84,0.334459
85,0.507083
86,0.147834
87,0.156667
88,0.48775
89,0.43075
90,0.244416
91,0.506916
92,0.152417
93,0.149042
94,0.151125
95,0.571875
96,0.49875
97,0.245583
98,0.190541
99,0.276125
100,0.52775
101,0.209625
102,0.635958
103,0.308458
104,0.342125
105,0.1435
106,0.158958
107,0.488792
108,0.419583
109,0.183333
110,0.199375
111,0.187833
112,0.354708
113,0.40475
114,0.380709
115,0.453167
116,0.317125
117,0.403
118,0.163084
119,0.202916
120,0.40725
121,0.311
122,0.504916
123,0.328917
124,0.503917
125,0.719375
126,0.3345
127,0.382875
128,0.675833
129,0.581333
130,0.697292
131,0.391208
132,0.6615
133,0.684958
134,0.186042
135,0.196917
136,0.644625
137,0.448916
138,0.576125
139,0.17325
140,0.535166
141,0.439542
142,0.454958
143,0.503667
144,0.172958
145,0.187042
146,0.675666
147,0.439292
148,0.626375
149,0.340083
150,0.3255
151,0.50325
152,0.581083
153,0.412417
154,0.182125
155,0.181292
156,0.546208
157,0.154542
158,0.683625
159,0.542084
160,0.5805
161,0.189542
162,0.152792
163,0.523416
164,0.246667
165,0.454042
166,0.17575
167,0.166583
168,0.41825
169,0.447625
170,0.455041
171,0.553625
172,0.441375
173,0.436875
174,0.22875
175,0.3825
176,0.213417
177,0.172042
178,0.555542
179,0.533167
180,0.499792
181,0.538875
182,0.556209
183,0.347834
184,0.640583
185,0.537
186,0.445834
187,0.477208
188,0.173959
189,0.134458
190,0.406917
191,0.5555
192,0.547375
193,0.483625
194,0.447
195,0.326542
196,0.513
197,0.162125
198,0.200375
199,0.261083
200,0.174584
201,0.168375
202,0.5975
203,0.329125
204,0.508625
205,0.185458
206,0.290375
207,0.174459
208,0.176125
209,0.477708
210,0.2735
211,0.315875
212,0.2325
213,0.179167
214,0.319125
215,0.49025
216,0.31225
217,0.180625
218,0.202583
219,0.436667
220,0.492041
221,0.450875
222,0.199292
223,0.161708
224,0.617458
225,0.393542
226,0.486458
227,0.52675
228,0.404
229,0.1745
230,0.174791
231,0.519291
232,0.20475
233,0.4765
234,0.423583
235,0.138666
236,0.168167
237,0.436
238,0.6485
239,0.319625
240,0.173792
241,0.157292
242,0.161333
243,0.30025
244,0.504792
245,0.179042
246,0.17825
247,0.4075
248,0.492583
249,0.463791
250,0.162625
251,0.137208
252,0.338
253,0.502042
254,0.150917
255,0.438834
256,0.490083
257,0.160542
258,0.137292
259,0.503875
260,0.209292
261,0.375125
262,0.143291
263,0.158792
264,0.521125
265,0.2335
266,0.46675
267,0.366334
268,0.281292
269,0.127209
270,0.131334
271,0.384875
272,0.31275
273,0.152458
274,0.123333
275,0.136291
276,0.121333
277,0.502042
278,0.277458
279,0.1465
280,0.198666
281,0.375459
282,0.464417
283,0.263291
284,0.294917
285,0.14925
286,0.503667
287,0.324083
288,0.321042
289,0.15025
290,0.145083
291,0.404625
292,0.241417
293,0.250292
294,0.151625
295,0.170916
296,0.371458
297,0.339
298,0.256708
299,0.124875
